dataset,window_len,pipeline,architecture,condition,fold,seed,accuracy,balanced_accuracy,f1_weighted,f1_macro,precision_weighted,recall_weighted,precision_macro,recall_macro,cohen_kappa,mcc,ece,log_loss,mean_confidence,std_confidence,mean_entropy,std_entropy,train_time_s,infer_time_s,data_load_time_s
home_har_data,1000,rv_w2000,CNN_LSTM,noBN,-1,42,0.3432,0.3432,0.3281,0.3281,0.4064,0.3432,0.4064,0.3432,0.2338,0.2444,0.4888,3.6207,0.832,0.19,0.4322,0.4236,13338.42,33.3281,435.901
home_har_data,1000,rv_w2000,Conv1D,noBN,-1,42,0.3198,0.3198,0.3006,0.3006,0.3901,0.3198,0.3901,0.3198,0.2064,0.2168,0.2391,1.836,0.5493,0.2295,1.0733,0.4799,5280.02,13.1719,435.901
home_har_data,1000,rv_w2000,MLP,noBN,-1,42,0.1429,0.1429,0.0357,0.0357,0.0204,0.1429,0.0204,0.1429,0.0,0.0,0.0004,1.9459,0.1432,0.0,1.9459,0.0,6947.17,6.9219,435.901
home_har_data,1000,rv_w200,CNN_LSTM,noBN,-1,42,0.5,0.5,0.4173,0.4173,0.3764,0.5,0.3764,0.5,0.4167,0.4414,0.4512,5.725,0.951,0.1102,0.1244,0.2302,11767.89,29.0938,506.943
home_har_data,1000,rv_w200,Conv1D,noBN,-1,42,0.4645,0.4645,0.3945,0.3945,0.4647,0.4645,0.4647,0.4645,0.3753,0.3928,0.3844,4.1201,0.8483,0.1872,0.3617,0.3809,6248.67,17.2188,506.943
home_har_data,1000,rv_w200,MLP,noBN,-1,42,0.35,0.35,0.2791,0.2791,0.2874,0.35,0.2874,0.35,0.2416,0.2659,0.1077,2.7866,0.3382,0.2345,1.5189,0.5578,5841.58,8.6875,506.943
home_har_data,1000,rv_w20,CNN_LSTM,noBN,-1,42,0.4832,0.4832,0.4109,0.4109,0.3848,0.4832,0.3848,0.4832,0.3971,0.4269,0.476,7.0644,0.958,0.0994,0.1055,0.2009,11938.86,36.6875,934.447
home_har_data,1000,rv_w20,Conv1D,noBN,-1,42,0.5292,0.5292,0.4557,0.4557,0.4972,0.5292,0.4972,0.5292,0.4508,0.4745,0.391,4.2584,0.9202,0.1326,0.2047,0.2682,5558.02,11.0156,934.447
home_har_data,1000,rv_w20,MLP,noBN,-1,42,0.3514,0.3514,0.322,0.322,0.3823,0.3514,0.3823,0.3514,0.2433,0.256,0.5111,5.9424,0.8603,0.1838,0.3752,0.4289,7346.27,10.9688,934.447
home_har_data,2000,rv_w2000,CNN_LSTM,noBN,-1,42,0.3523,0.3523,0.3162,0.3162,0.3539,0.3523,0.3539,0.3523,0.2444,0.2532,0.5059,3.6031,0.8582,0.18,0.3644,0.3956,11292.8,27.3438,1094.642
home_har_data,2000,rv_w2000,Conv1D,noBN,-1,42,0.2905,0.2905,0.2507,0.2507,0.3676,0.2905,0.3676,0.2905,0.1723,0.1805,0.3939,3.2478,0.6845,0.2411,0.8381,0.5401,3097.84,11.7969,1094.642
home_har_data,2000,rv_w2000,MLP,noBN,-1,42,0.1429,0.1429,0.0357,0.0357,0.0204,0.1429,0.0204,0.1429,0.0,0.0,0.0009,1.9459,0.1438,0.0,1.9459,0.0,3881.25,8.7812,1094.642
home_har_data,2000,rv_w200,CNN_LSTM,noBN,-1,42,0.5251,0.5251,0.4452,0.4452,0.5421,0.5251,0.5421,0.5251,0.4459,0.4682,0.429,4.8134,0.9541,0.1066,0.1229,0.2247,12097.08,23.7812,1410.544
home_har_data,2000,rv_w200,Conv1D,noBN,-1,42,0.5125,0.5125,0.4798,0.4798,0.5524,0.5125,0.5524,0.5125,0.4313,0.4494,0.3263,2.9719,0.835,0.1897,0.4436,0.4194,5273.36,19.0469,1410.544
home_har_data,2000,rv_w200,MLP,noBN,-1,42,0.1429,0.1429,0.0357,0.0357,0.0204,0.1429,0.0204,0.1429,0.0,0.0,0.0008,1.9459,0.1437,0.0,1.9459,0.0,5152.67,15.1562,1410.544
home_har_data,2000,rv_w20,CNN_LSTM,noBN,-1,42,0.4643,0.4643,0.3962,0.3962,0.378,0.4643,0.378,0.4643,0.375,0.4064,0.4738,5.6149,0.9368,0.1182,0.1657,0.2463,8332.53,18.0,656.912
home_har_data,2000,rv_w20,Conv1D,noBN,-1,42,0.5039,0.5039,0.4452,0.4452,0.4719,0.5039,0.4719,0.5039,0.4212,0.443,0.3452,3.2639,0.8491,0.1722,0.4108,0.3812,3607.5,14.5312,656.912
home_har_data,2000,rv_w20,MLP,noBN,-1,42,0.3041,0.3041,0.2824,0.2824,0.3519,0.3041,0.3519,0.3041,0.1881,0.1982,0.5239,6.4837,0.8279,0.2069,0.4618,0.4784,3440.23,5.2188,656.912
home_har_data,500,rv_w2000,CNN_LSTM,noBN,-1,42,0.468,0.468,0.4327,0.4327,0.5272,0.468,0.5272,0.468,0.3793,0.3923,0.4256,3.9533,0.8935,0.1626,0.2677,0.3561,12622.27,23.3125,672.015
home_har_data,500,rv_w2000,Conv1D,noBN,-1,42,0.3552,0.3552,0.3292,0.3292,0.3987,0.3552,0.3987,0.3552,0.2478,0.2556,0.1615,2.3552,0.4554,0.2531,1.2777,0.5777,4586.61,11.0,672.015
