n,rv20,rv200,rv2000
3920,0.1309,0.2561,0.6257
3925,0.2265,0.2568,0.6289
3930,0.2062,0.2454,0.6335
3935,0.3063,0.2527,0.6334
3940,0.3252,0.2604,0.6337
3945,0.2380,0.2558,0.6339
3950,0.1552,0.2648,0.6342
3955,0.1285,0.2715,0.6352
3960,0.1485,0.2889,0.6344
3965,0.2069,0.2793,0.6357
3970,0.2003,0.2880,0.6348
3975,0.2078,0.3092,0.6339
3980,0.1811,0.3193,0.6332
3985,0.1215,0.3305,0.6318
3990,0.0896,0.3445,0.6312
3995,0.1528,0.3570,0.6288
4000,0.1289,0.3586,0.6286
4005,0.2199,0.3802,0.6286
4010,0.2499,0.3926,0.6268
4015,0.1863,0.4162,0.6245
4020,0.2066,0.4202,0.6224
4025,0.1858,0.4439,0.6203
4030,0.1917,0.4494,0.6189
4035,0.2011,0.4578,0.6163
4040,0.2390,0.4550,0.6148
4045,0.1820,0.4402,0.6138
4050,0.2677,0.4399,0.6124
4055,0.2357,0.4364,0.6127
4060,0.2450,0.4290,0.6112
4065,0.2452,0.4166,0.6082
4070,0.1294,0.3969,0.6071
4075,0.1263,0.3826,0.6054
4080,0.1056,0.3734,0.6042
4085,0.1343,0.3633,0.6023
4090,0.1193,0.3365,0.5999
4095,0.1512,0.3057,0.5985
4100,0.1894,0.3085,0.5976
4105,0.1558,0.2878,0.5932
4110,0.2132,0.2626,0.5932
4115,0.1849,0.2642,0.5936
4120,0.1775,0.2472,0.5929
4125,0.2367,0.2358,0.5912
4130,0.2106,0.2180,0.5907
4135,0.1415,0.2119,0.5885
4140,0.1731,0.2193,0.5877
4145,0.0911,0.2219,0.5844
4150,0.0925,0.2266,0.5825
4155,0.0999,0.2284,0.5799
4160,0.1600,0.2391,0.5795
4165,0.1899,0.2410,0.5785
4170,0.2289,0.2472,0.5780
4175,0.2426,0.2524,0.5769
4180,0.1908,0.2533,0.5773
4185,0.2287,0.2624,0.5790
4190,0.2066,0.2648,0.5791
4195,0.1921,0.2575,0.5799
4200,0.2012,0.2624,0.5805
4205,0.1302,0.2475,0.5801
4210,0.1111,0.2416,0.5811
4215,0.1193,0.2337,0.5822
4220,0.0923,0.2280,0.5816
4225,0.1294,0.2150,0.5833
4230,0.2457,0.2167,0.5841
4235,0.2955,0.2177,0.5873
4240,0.2773,0.2209,0.5894
4245,0.2674,0.2252,0.5914
4250,0.1336,0.2125,0.5926
4255,0.1180,0.2121,0.5941
4260,0.1045,0.2091,0.5951
4265,0.1380,0.2104,0.5966
4270,0.1767,0.2134,0.5986
4275,0.1719,0.2051,0.6002
4280,0.1748,0.2053,0.6035
4285,0.1910,0.2085,0.6056
4290,0.1892,0.2070,0.6060
4295,0.2053,0.1978,0.6083
4300,0.2157,0.1980,0.6116
4305,0.1600,0.1957,0.6125
4310,0.1926,0.2024,0.6152
4315,0.2139,0.2011,0.6155
4320,0.2587,0.2025,0.6184
4325,0.2516,0.1949,0.6209
4330,0.1993,0.1962,0.6228
4335,0.2150,0.1971,0.6226
4340,0.1579,0.1974,0.6224
4345,0.1579,0.1998,0.6249
4350,0.1610,0.2048,0.6254
4355,0.1860,0.2057,0.6275
4360,0.1751,0.1988,0.6274
4365,0.1721,0.1982,0.6285
4370,0.1530,0.1971,0.6299
4375,0.1917,0.2006,0.6303
4380,0.2102,0.2008,0.6327
4385,0.2042,0.1962,0.6332
4390,0.1872,0.1975,0.6362
4395,0.1399,0.2001,0.6394
4400,0.1270,0.2020,0.6430
4405,0.1475,0.2046,0.6448
4410,0.1486,0.2084,0.6471
4415,0.1859,0.2075,0.6482
4420,0.1932,0.2082,0.6506
4425,0.1983,0.2231,0.6550
4430,0.2097,0.2077,0.6546
4435,0.2130,0.2110,0.6565
4440,0.1910,0.2108,0.6586
4445,0.2180,0.2198,0.6571
4450,0.2432,0.2235,0.6583
4455,0.2165,0.2267,0.6585
4460,0.2892,0.2323,0.6601
4465,0.1953,0.2316,0.6628
4470,0.2219,0.2297,0.6601
4475,0.2427,0.2314,0.6593
4480,0.2044,0.2352,0.6593
4485,0.1688,0.2292,0.6578
4490,0.2164,0.2325,0.6594
4495,0.2067,0.2334,0.6591
4500,0.2061,0.2381,0.6584
4505,0.2564,0.2417,0.6578
4510,0.1892,0.2346,0.6580
4515,0.2291,0.2353,0.6600
4520,0.2066,0.2308,0.6581
4525,0.1358,0.2304,0.6579
4530,0.1839,0.2308,0.6558
4535,0.1086,0.2199,0.6546
4540,0.1534,0.2176,0.6561
4545,0.1672,0.2187,0.6572
4550,0.1194,0.2055,0.6585
4555,0.1371,0.2076,0.6590
4560,0.1096,0.2020,0.6591
4565,0.1084,0.1990,0.6596
4570,0.1203,0.1928,0.6599
4575,0.1794,0.1936,0.6624
4580,0.2000,0.1961,0.6636
4585,0.2459,0.1981,0.6647
4590,0.2351,0.1977,0.6636
4595,0.1792,0.1999,0.6651
4600,0.1436,0.1988,0.6643
4605,0.1484,0.1986,0.6665
4610,0.2050,0.2045,0.6696
4615,0.1916,0.1996,0.6687
4620,0.2001,0.2032,0.6684
4625,0.1665,0.2036,0.6708
4630,0.1193,0.2029,0.6729
4635,0.1179,0.2046,0.6765
4640,0.0997,0.2059,0.6757
4645,0.1111,0.1948,0.6772
4650,0.1194,0.1970,0.6789
4655,0.1194,0.2014,0.6817
4660,0.1653,0.2052,0.6838
4665,0.2143,0.2280,0.6919
4670,0.2036,0.2309,0.6953
4675,0.2720,0.2320,0.6958
4680,0.2480,0.2307,0.6997
4685,0.1572,0.2312,0.7037
4690,0.1740,0.2356,0.7086
4695,0.1294,0.2327,0.7108
4700,0.1477,0.2352,0.7150
4705,0.1810,0.2390,0.7202
4710,0.1837,0.2409,0.7240
4715,0.1480,0.2346,0.7256
4720,0.2043,0.2363,0.7300
4725,0.2643,0.2485,0.7359
4730,0.2416,0.2426,0.7414
4735,0.2728,0.2510,0.7484
4740,0.2249,0.2484,0.7537
4745,0.1873,0.2515,0.7605
4750,0.1927,0.2490,0.7658
4755,0.1731,0.2567,0.7739
4760,0.1714,0.2610,0.7834
4765,0.1991,0.2713,0.7920
4770,0.1595,0.2671,0.7982
4775,0.1533,0.2672,0.8069
4780,0.1672,0.2574,0.8109
4785,0.0946,0.2574,0.8194
4790,0.2055,0.2671,0.8282
4795,0.2129,0.2708,0.8372
4800,0.1902,0.2543,0.8415
4805,0.1907,0.2439,0.8480
4810,0.1642,0.2467,0.8554
4815,0.2342,0.2508,0.8655
4820,0.2020,0.2560,0.8760
4825,0.2629,0.2705,0.8879
4830,0.1732,0.2770,0.8999
4835,0.1299,0.2767,0.9079
4840,0.2279,0.2945,0.9216
4845,0.2636,0.2975,0.9337
4850,0.3231,0.3082,0.9470
4855,0.3025,0.3137,0.9569
4860,0.2296,0.3147,0.9661
4865,0.1871,0.3306,0.9820
4870,0.1389,0.3329,0.9932
4875,0.2481,0.3405,1.0096
4880,0.2566,0.3578,1.0268
4885,0.2466,0.3590,1.0382
4890,0.2431,0.3563,1.0501
4895,0.2455,0.3646,1.0677
4900,0.2179,0.3638,1.0811
4905,0.1878,0.3715,1.0959
4910,0.2058,0.3609,1.1087
4915,0.1509,0.3627,1.1244
4920,0.1522,0.3400,1.1361
4925,0.1981,0.3320,1.1464
4930,0.2115,0.3260,1.1574
4935,0.1886,0.3263,1.1681
4940,0.2029,0.3105,1.1768
4945,0.2006,0.2998,1.1860
4950,0.1940,0.2877,1.1932
4955,0.1571,0.2862,1.1998
4960,0.1806,0.2848,1.2109
4965,0.2514,0.2824,1.2235
4970,0.2446,0.2777,1.2355
4975,0.3452,0.2907,1.2468
4980,0.3755,0.2745,1.2572
4985,0.3135,0.2740,1.2687
4990,0.3349,0.2609,1.2760
4995,0.1841,0.2590,1.2866
