centroid_mean_cosine,centroid_mean_l2,cov_principal_angle_deg,dataset,domain_clf_linear_acc,domain_clf_mlp_acc,drift_severity_score,experiment,mmd_global,pair,prior_kl_div,summary
,,,home_occupation_data,,,,exp15,,all,,"{""D1"": {""participation_ratio"": 2.2, ""effective_dim_95"": 3, ""cum_var_10"": 0.9995, ""cum_var_20"": 0.9999}, ""D2"": {""participation_ratio"": 2.3, ""effective_dim_95"": 3, ""cum_var_10"": 0.9993, ""cum_var_20"": 0.9999}, ""D3"": {""participation_ratio"": 2.19, ""effective_dim_95"": 3, ""cum_var_10"": 0.9999, ""cum_var_20"": 1.0}}"
,,,home_occupation_data,,,,exp16,,all,,"{""D1->D2"": {""accuracy"": 0.994}, ""D1->D3"": {""accuracy"": 1.0}}"
,,,home_occupation_data,,,,exp17,,all,,"{""per_class"": {""empty"": {""cos12"": 0.9783, ""cos23"": 0.9988, ""cos13"": 0.9866}, ""sleep"": {""cos12"": 0.9993, ""cos23"": 0.9956, ""cos13"": 0.9957}, ""work"": {""cos12"": 0.9587, ""cos23"": 0.9819, ""cos13"": 0.9686}}, ""global"": {""cos12"": 0.9798, ""cos23"": 0.9818, ""cos13"": 0.9688}, ""mean_stability"": 0.9836}"
,,,home_occupation_data,,,,exp18,,all,,"{""D1"": {""participation_ratio"": 2.2, ""pca_95"": 3, ""mle_dimension"": 2.56}, ""D2"": {""participation_ratio"": 2.3, ""pca_95"": 3, ""mle_dimension"": 2.54}, ""D3"": {""participation_ratio"": 2.19, ""pca_95"": 3, ""mle_dimension"": 2.8}}"
,,,home_occupation_data,,,,exp19,,all,,"{""D1"": {""mean_abs_corr"": 0.6188, ""n_high_corr_pairs"": 607}, ""D2"": {""mean_abs_corr"": 0.5886, ""n_high_corr_pairs"": 526}, ""D3"": {""mean_abs_corr"": 0.6046, ""n_high_corr_pairs"": 540}}"
,,,home_occupation_data,,,,exp20,,all,,"{""D1"": {""fisher"": 12.815, ""silhouette"": 0.8467, ""davies_bouldin"": 0.2865}, ""D2"": {""fisher"": 4.9311, ""silhouette"": 0.7571, ""davies_bouldin"": 0.4893}, ""D3"": {""fisher"": 7.3877, ""silhouette"": 0.8283, ""davies_bouldin"": 0.3809}}"
,,,home_occupation_data,,,,exp21,,all,,"{""D1"": {""cluster_purity"": 1.0}, ""D2"": {""cluster_purity"": 0.9719}, ""D3"": {""cluster_purity"": 1.0}}"
,,,home_occupation_data,,,,exp22,,all,,"{""D1"": {""within_var"": 0.0044, ""between_var"": 27.8612, ""snr"": 6394.6899}, ""D2"": {""within_var"": 0.0094, ""between_var"": 23.1287, ""snr"": 2460.6182}, ""D3"": {""within_var"": 0.0089, ""between_var"": 32.9849, ""snr"": 3686.4597}}"
,,,home_occupation_data,,,0.3413,drift_score,,all,,"{""score"": 0.3413, ""norm_mmd"": 0.0331, ""norm_domain_acc"": 0.9038, ""norm_angle"": 0.2811, ""norm_centroid"": 0.1474}"
0.9222,1.9581,24.9,office_har_data,0.7843,0.7345,,pairwise,0.040782,D1->D2,0.0,
0.9848,1.0081,23.27,office_har_data,0.7467,0.6864,,pairwise,0.010008,D2->D3,0.0,
0.8691,2.758,25.96,office_har_data,0.7752,0.7094,,pairwise,0.051463,D1->D3,0.0,
,,,office_har_data,,,,exp11,,all,,"{""mmd12"": 0.048025, ""mmd23"": 0.010673, ""mmd13"": 0.070713, ""mmd_acceleration"": 0.022688, ""speed12"": 1.3997, ""speed23"": 0.4595, ""centroid_acceleration"": 1.2099, ""direction_cosine"": 0.5493, ""interpretation"": ""Drift is accelerating""}"
,,,office_har_data,,,,exp12,,all,,"{""mean_var"": {""D1"": 0.4329, ""D2"": 0.4714, ""D3"": 0.5174}, ""n_unstable"": 22, ""unstable_features"": [2, 5, 6, 7, 9, 11, 14, 15, 16, 19, 20, 21, 22, 27, 30, 32, 36, 42, 46, 51]}"
,,,office_har_data,,,,exp13,,all,,"{""sig_counts"": {""D1-D2"": 62, ""D2-D3"": 51, ""D1-D3"": 63}, ""mean_ks"": {""D1-D2"": 0.1844, ""D2-D3"": 0.1361, ""D1-D3"": 0.1855}}"
,,,office_har_data,,,,exp14,,all,,"{""fisher"": {""D1"": 8.5546, ""D2"": 4.7898, ""D3"": 8.201}, ""margins"": {""D1"": 34.8763, ""D2"": 32.6578, ""D3"": 26.7874}}"
,,,office_har_data,,,,exp15,,all,,"{""D1"": {""participation_ratio"": 3.05, ""effective_dim_95"": 3, ""cum_var_10"": 0.9975, ""cum_var_20"": 0.9996}, ""D2"": {""participation_ratio"": 2.1, ""effective_dim_95"": 3, ""cum_var_10"": 0.9986, ""cum_var_20"": 0.9998}, ""D3"": {""participation_ratio"": 2.24, ""effective_dim_95"": 3, ""cum_var_10"": 0.9983, ""cum_var_20"": 0.9997}}"
,,,office_har_data,,,,exp16,,all,,"{""D1->D2"": {""accuracy"": 0.7478}, ""D1->D3"": {""accuracy"": 0.8109}}"
,,,office_har_data,,,,exp17,,all,,"{""per_class"": {""eat"": {""cos12"": 0.9919, ""cos23"": 0.9738, ""cos13"": 0.9584}, ""empty"": {""cos12"": 1.0, ""cos23"": 1.0, ""cos13"": 1.0}, ""watch"": {""cos12"": 0.7019, ""cos23"": 0.969, ""cos13"": 0.5269}, ""work"": {""cos12"": 0.9948, ""cos23"": 0.9965, ""cos13"": 0.9909}}, ""global"": {""cos12"": 0.9399, ""cos23"": 0.9949, ""cos13"": 0.9187}, ""mean_stability"": 0.8691}"
,,,office_har_data,,,,exp18,,all,,"{""D1"": {""participation_ratio"": 3.05, ""pca_95"": 3, ""mle_dimension"": 3.18}, ""D2"": {""participation_ratio"": 2.1, ""pca_95"": 3, ""mle_dimension"": 3.26}, ""D3"": {""participation_ratio"": 2.24, ""pca_95"": 3, ""mle_dimension"": 3.34}}"
