dataset,window_len,pipeline,model,fold,seed,accuracy,balanced_accuracy,f1_weighted,f1_macro,precision_weighted,recall_weighted,precision_macro,recall_macro,cohen_kappa,mcc,ece,log_loss,mean_confidence,std_confidence,mean_entropy,std_entropy,data_load_time_s,train_cpu_s,train_wall_s,infer_wall_s,model_size_mb,train_samples,test_samples,n_features
home_occupation_data,2000,amplitude,RandomForest,-1,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.011,0.0114,0.989,0.0258,0.0475,0.0809,905.675,13.984,6.09,2.3605,0.25,444,222,104000
home_occupation_data,2000,amplitude,XGBoost,-1,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0081,0.0083,0.9919,0.0191,0.043,0.0585,905.675,1320.859,424.398,0.7477,0.24,444,222,104000
home_occupation_data,2000,amplitude_phase,RandomForest,-1,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0156,0.0161,0.9844,0.0267,0.0701,0.0879,1391.611,25.953,9.018,2.6825,0.25,444,222,208000
home_occupation_data,2000,amplitude_phase,XGBoost,-1,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0085,0.0087,0.9915,0.0206,0.0443,0.061,1391.611,3979.391,656.596,1.5976,0.24,444,222,208000
home_occupation_data,2000,amplitude_sanitized,RandomForest,-1,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0143,0.0148,0.9857,0.0254,0.065,0.0834,2729.779,17.828,6.708,1.4423,0.25,444,222,208000
home_occupation_data,2000,amplitude_sanitized,XGBoost,-1,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0109,0.0114,0.9891,0.0289,0.0525,0.0725,2729.779,3937.953,609.583,1.1799,0.24,444,222,208000
home_occupation_data,2000,rolling_variance,RandomForest,-1,42,0.9775,0.9775,0.9775,0.9775,0.978,0.9775,0.978,0.9775,0.9662,0.9665,0.2116,0.294,0.7659,0.1536,0.5788,0.2638,423.412,21.188,2.795,0.4807,0.65,444,222,104000
home_occupation_data,2000,rolling_variance,XGBoost,-1,42,0.964,0.964,0.9641,0.9641,0.9642,0.964,0.9642,0.964,0.9459,0.946,0.0304,0.1193,0.9336,0.1088,0.1965,0.2339,423.412,3153.078,437.047,0.5485,0.27,444,222,104000
home_occupation_data,500,amplitude,RandomForest,-1,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0055,0.0056,0.9945,0.0173,0.0236,0.0603,429.259,44.891,8.798,2.7036,0.42,1794,897,26000
home_occupation_data,500,amplitude,XGBoost,-1,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0012,0.0012,0.9988,0.0022,0.0096,0.0108,429.259,1106.203,278.257,0.2091,0.26,1794,897,26000
home_occupation_data,500,amplitude_phase,RandomForest,-1,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0079,0.0081,0.9921,0.017,0.0372,0.0637,1307.214,63.078,14.532,5.1093,0.43,1794,897,52000
home_occupation_data,500,amplitude_phase,XGBoost,-1,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0012,0.0012,0.9988,0.0018,0.0096,0.0099,1307.214,2561.453,821.519,0.7809,0.26,1794,897,52000
home_occupation_data,500,amplitude_sanitized,RandomForest,-1,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0067,0.0069,0.9933,0.0164,0.031,0.06,9629.644,58.031,12.234,3.0128,0.44,1794,897,52000
home_occupation_data,500,amplitude_sanitized,XGBoost,-1,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0016,0.0017,0.9984,0.0022,0.0122,0.0121,9629.644,2539.078,751.605,0.799,0.26,1794,897,52000
home_occupation_data,500,rolling_variance,RandomForest,-1,42,0.971,0.971,0.971,0.971,0.9712,0.971,0.9712,0.971,0.9565,0.9566,0.1556,0.2344,0.8154,0.1544,0.4724,0.295,976.358,76.25,11.308,2.0343,2.18,1794,897,26000
