dataset,window_len,pipeline,model,n_seeds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_weighted_mean,f1_weighted_std,f1_macro_mean,f1_macro_std,precision_weighted_mean,precision_weighted_std,recall_weighted_mean,recall_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,cohen_kappa_mean,cohen_kappa_std,mcc_mean,mcc_std,ece_mean,ece_std,log_loss_mean,log_loss_std,mean_confidence_mean,mean_confidence_std,std_confidence_mean,std_confidence_std,mean_entropy_mean,mean_entropy_std,std_entropy_mean,std_entropy_std
home_har_data,wl2000,amplitude_phase,XGBoost,1,0.2876,0.0,0.2876,0.0,0.235,0.0,0.235,0.0,0.2031,0.0,0.2876,0.0,0.2031,0.0,0.2876,0.0,0.1689,0.0,0.1738,0.0,0.4273,0.0,3.0715,0.0,0.7149,0.0,0.2151,0.0,0.8039,0.0,0.4783,0.0
home_har_data,wl2000,amplitude_sanitized,RandomForest,1,0.2847,0.0,0.2847,0.0,0.2344,0.0,0.2344,0.0,0.2074,0.0,0.2847,0.0,0.2074,0.0,0.2847,0.0,0.1655,0.0,0.1704,0.0,0.2693,0.0,8.6501,0.0,0.5451,0.0,0.165,0.0,1.1246,0.0,0.3192,0.0
home_har_data,wl2000,amplitude_sanitized,XGBoost,1,0.2519,0.0,0.2519,0.0,0.2058,0.0,0.2058,0.0,0.1805,0.0,0.2519,0.0,0.1805,0.0,0.2519,0.0,0.1273,0.0,0.1313,0.0,0.475,0.0,3.3041,0.0,0.7269,0.0,0.2091,0.0,0.7919,0.0,0.4814,0.0
home_har_data,wl2000,rolling_variance,RandomForest,1,0.4527,0.0,0.4527,0.0,0.3801,0.0,0.3801,0.0,0.3628,0.0,0.4527,0.0,0.3628,0.0,0.4527,0.0,0.3615,0.0,0.3852,0.0,0.175,0.0,3.7799,0.0,0.4298,0.0,0.136,0.0,1.4075,0.0,0.3105,0.0
home_har_data,wl2000,rolling_variance,XGBoost,1,0.4459,0.0,0.4459,0.0,0.3819,0.0,0.3819,0.0,0.3576,0.0,0.4459,0.0,0.3576,0.0,0.4459,0.0,0.3536,0.0,0.3713,0.0,0.2379,0.0,2.3909,0.0,0.6838,0.0,0.1932,0.0,0.8891,0.0,0.417,0.0
home_har_data,wl500,amplitude,RandomForest,1,0.112,0.0,0.112,0.0,0.0938,0.0,0.0938,0.0,0.0882,0.0,0.112,0.0,0.0882,0.0,0.112,0.0,-0.036,0.0,-0.0385,0.0,0.4501,0.0,10.0182,0.0,0.5621,0.0,0.1872,0.0,1.0386,0.0,0.3834,0.0
home_har_data,wl500,amplitude,XGBoost,1,0.2764,0.0,0.2764,0.0,0.2318,0.0,0.2318,0.0,0.2088,0.0,0.2764,0.0,0.2088,0.0,0.2764,0.0,0.1558,0.0,0.1595,0.0,0.3927,0.0,3.1735,0.0,0.6691,0.0,0.1738,0.0,0.8854,0.0,0.3435,0.0
home_har_data,wl500,amplitude_phase,RandomForest,1,0.1178,0.0,0.1178,0.0,0.096,0.0,0.096,0.0,0.0868,0.0,0.1178,0.0,0.0868,0.0,0.1178,0.0,-0.0293,0.0,-0.0315,0.0,0.4333,0.0,9.6436,0.0,0.5507,0.0,0.1921,0.0,1.0731,0.0,0.3826,0.0
home_har_data,wl500,amplitude_phase,XGBoost,1,0.2953,0.0,0.2953,0.0,0.2473,0.0,0.2473,0.0,0.2219,0.0,0.2953,0.0,0.2219,0.0,0.2953,0.0,0.1778,0.0,0.1821,0.0,0.3603,0.0,2.9431,0.0,0.6556,0.0,0.1691,0.0,0.9414,0.0,0.3283,0.0
home_har_data,wl500,amplitude_sanitized,RandomForest,1,0.1209,0.0,0.1209,0.0,0.0958,0.0,0.0958,0.0,0.0863,0.0,0.1209,0.0,0.0863,0.0,0.1209,0.0,-0.0256,0.0,-0.0276,0.0,0.4277,0.0,9.4963,0.0,0.5486,0.0,0.189,0.0,1.0855,0.0,0.3762,0.0
