Comparison,MMD^2,Domain Acc,Principal Angle,Centroid Shift
D1->D2,0.021818,0.7824,22.64,1.7723
D2->D3,-0.001546,0.4336,0.01,0.0
D1->D3,0.029904,0.7824,22.64,1.7723
